vmin_mid,median,lo68,hi68,lo95,hi95
1.244455000000000098e+02,7.273878558369687354e-31,7.126642721429384979e-31,7.444738182416210219e-31,7.011681057300111034e-31,7.575108763341399832e-31
1.252444999999999879e+02,7.252803651940589613e-31,7.119852627706354480e-31,7.431858510721403955e-31,7.003029065301890980e-31,7.543659648405267088e-31
1.260434999999999945e+02,7.239326545112712919e-31,7.102486107183746809e-31,7.417221163901242399e-31,6.997673352429455778e-31,7.523455473885465753e-31
1.268425000000000011e+02,7.231055962742561992e-31,7.094146716811604084e-31,7.410908109619475000e-31,6.990878661220907500e-31,7.523455473885465753e-31
1.276415000000000077e+02,7.223944652386486320e-31,7.076423627703438646e-31,7.385833072176982832e-31,6.985996655522834177e-31,7.517217781844246856e-31
1.284404999999999859e+02,7.211302559170500101e-31,7.058864840763562515e-31,7.372824451265808547e-31,6.965952726441537550e-31,7.511500203254121612e-31
1.292395000000000209e+02,7.200675483962057436e-31,7.052859797127973871e-31,7.361463282431547107e-31,6.951074677810372418e-31,7.504587375562278989e-31
1.300384999999999991e+02,7.181516238848097328e-31,7.038255970670579933e-31,7.334876227744381002e-31,6.940334786141061302e-31,7.484780947837976032e-31
1.308374999999999773e+02,7.164886808544937980e-31,7.027860794759389759e-31,7.313216091811311255e-31,6.922349485437041597e-31,7.462124499668013459e-31
1.316365000000000123e+02,7.143591755288513414e-31,7.013132443213195860e-31,7.274679137333653773e-31,6.899174458578713449e-31,7.431339545553329694e-31
1.324355000000000189e+02,7.131572549601355138e-31,7.002153532190083426e-31,7.259073207079527050e-31,6.883082113811494200e-31,7.414380917373391541e-31
1.332345000000000255e+02,7.121534612971122970e-31,6.995563893935169731e-31,7.239448776002794442e-31,6.877801020916634041e-31,7.394368283165846168e-31
1.340335000000000036e+02,7.104117352818404949e-31,6.986775150273888687e-31,7.229071003562711240e-31,6.863505846819082808e-31,7.333660264608036985e-31
1.348324999999999818e+02,7.099324293769690409e-31,6.970100901514329369e-31,7.224716180765758754e-31,6.857694014394528549e-31,7.321744183714808801e-31
1.356315000000000168e+02,7.080647517172837839e-31,6.966870966642068391e-31,7.214490173599700503e-31,6.855435831878255253e-31,7.311905806534172764e-31
1.364304999999999950e+02,7.078467798925627525e-31,6.962252550299688288e-31,7.212192941686475243e-31,6.854657995853436424e-31,7.302800992927042148e-31
1.372295000000000300e+02,7.077476751772372356e-31,6.960427769193742189e-31,7.211676258659064369e-31,6.854657995853436424e-31,7.302004321615220484e-31
1.380285000000000082e+02,7.076984987365900060e-31,6.960427769193742189e-31,7.211078131220480818e-31,6.854657995853437300e-31,7.302004321615220484e-31
1.388275000000000148e+02,7.076481713004837223e-31,6.959139741802697927e-31,7.210104709070048254e-31,6.854226801577267579e-31,7.300301286135335311e-31
1.396265000000000214e+02,7.075270966949431087e-31,6.953031875659233642e-31,7.206564821820532925e-31,6.848348765885645251e-31,7.297415757659164244e-31
1.404254999999999995e+02,7.074871980403732696e-31,6.952884450386975136e-31,7.204070383649102849e-31,6.844187694576786409e-31,7.293427665446181133e-31
1.412244999999999777e+02,7.065855844776701869e-31,6.942693976219110142e-31,7.199117992137028286e-31,6.812456958239007400e-31,7.290866513775860598e-31
1.420235000000000127e+02,7.065855844776701869e-31,6.942693976219110142e-31,7.199117992137028286e-31,6.812456958237656023e-31,7.290866513775860598e-31
1.428224999999999909e+02,7.065855844776701869e-31,6.942693976219110142e-31,7.199117992137027410e-31,6.812456958234803505e-31,7.290866513775860598e-31
1.436214999999999975e+02,7.065855844776700993e-31,6.942693976219110142e-31,7.199117992137028286e-31,6.812456958230675805e-31,7.290866513775860598e-31
