vmin_low,vmin_high,vmin_mid,flux
1.671920000000000073e+02,1.679909999999999854e+02,1.675914999999999964e+02,7.597181685491560219e-33
1.679909999999999854e+02,1.687899999999999920e+02,1.683904999999999745e+02,7.597181685491560219e-33
1.687899999999999920e+02,1.695889999999999702e+02,1.691894999999999811e+02,7.597181685491560219e-33
1.695889999999999702e+02,1.703880000000000052e+02,1.699884999999999877e+02,7.597181685491560219e-33
1.703880000000000052e+02,1.711870000000000118e+02,1.707875000000000227e+02,7.597181685491560219e-33
1.711870000000000118e+02,1.719859999999999900e+02,1.715865000000000009e+02,7.597181685491560219e-33
1.719859999999999900e+02,1.727849999999999966e+02,1.723854999999999791e+02,7.597181685491560219e-33
1.727849999999999966e+02,1.735840000000000032e+02,1.731845000000000141e+02,7.597181685491558851e-33
1.735840000000000032e+02,1.743829999999999814e+02,1.739834999999999923e+02,7.597181685491560219e-33
1.743829999999999814e+02,1.751820000000000164e+02,1.747824999999999989e+02,7.597181685491560219e-33
1.751820000000000164e+02,1.759809999999999945e+02,1.755815000000000055e+02,7.597181685491560219e-33
1.759809999999999945e+02,1.767800000000000011e+02,1.763804999999999836e+02,7.597181685491560219e-33
1.767800000000000011e+02,1.775790000000000077e+02,1.771795000000000186e+02,7.597181685491558851e-33
1.775790000000000077e+02,1.783779999999999859e+02,1.779784999999999968e+02,7.597181685491560219e-33
1.783779999999999859e+02,1.791769999999999925e+02,1.787774999999999750e+02,7.597181685491560219e-33
1.791769999999999925e+02,1.799760000000000275e+02,1.795765000000000100e+02,7.597181685491560219e-33
1.799760000000000275e+02,1.807750000000000057e+02,1.803755000000000166e+02,7.597181685491560219e-33
1.807750000000000057e+02,1.815740000000000123e+02,1.811745000000000232e+02,7.597181685491560219e-33
1.815740000000000123e+02,1.823729999999999905e+02,1.819735000000000014e+02,7.597181685491560219e-33
1.823729999999999905e+02,1.831719999999999970e+02,1.827724999999999795e+02,7.597181685491560219e-33
1.831719999999999970e+02,1.839710000000000036e+02,1.835715000000000146e+02,7.597181685491560219e-33
1.839710000000000036e+02,1.847700000000000102e+02,1.843704999999999927e+02,7.597181685491560219e-33
1.847700000000000102e+02,1.855690000000000168e+02,1.851695000000000277e+02,7.597181685491560219e-33
1.855690000000000168e+02,1.863680000000000234e+02,1.859685000000000059e+02,7.597181685491560219e-33
1.863680000000000234e+02,1.871670000000000016e+02,1.867675000000000125e+02,7.597181685491560219e-33
1.871670000000000016e+02,1.879660000000000082e+02,1.875665000000000191e+02,7.597181685491560219e-33
1.879660000000000082e+02,1.887649999999999864e+02,1.883654999999999973e+02,7.597181685491560219e-33
1.887649999999999864e+02,1.895640000000000214e+02,1.891645000000000039e+02,7.597181685491560219e-33
1.895640000000000214e+02,1.903630000000000280e+02,1.899635000000000105e+02,7.597181685491560219e-33
1.903630000000000280e+02,1.911620000000000061e+02,1.907625000000000171e+02,7.597181685491560219e-33
1.911620000000000061e+02,1.919610000000000127e+02,1.915615000000000236e+02,7.597181685491558851e-33
1.919610000000000127e+02,1.927599999999999909e+02,1.923605000000000018e+02,7.597181685491560219e-33
1.927599999999999909e+02,1.935589999999999691e+02,1.931594999999999800e+02,7.597181685491560219e-33
1.935589999999999691e+02,1.943580000000000041e+02,1.939584999999999866e+02,7.597181685491560219e-33
1.943580000000000041e+02,1.951570000000000107e+02,1.947574999999999932e+02,7.597181685491560219e-33
1.951570000000000107e+02,1.959559999999999889e+02,1.955564999999999998e+02,7.597181685491560219e-33
1.959559999999999889e+02,1.967549999999999955e+02,1.963555000000000064e+02,7.597181685491560219e-33
1.967549999999999955e+02,1.975540000000000020e+02,1.971544999999999845e+02,7.597181685491560219e-33
1.975540000000000020e+02,1.983529999999999802e+02,1.979534999999999911e+02,7.597181685491560219e-33
1.983529999999999802e+02,1.991520000000000152e+02,1.987524999999999977e+02,7.597181685491560219e-33
1.991520000000000152e+02,1.999509999999999934e+02,1.995515000000000043e+02,7.597181685491560219e-33
1.999509999999999934e+02,2.007500000000000000e+02,2.003505000000000109e+02,7.597181685491560219e-33
2.007500000000000000e+02,2.015490000000000066e+02,2.011494999999999891e+02,7.597181685491560219e-33
2.015490000000000066e+02,2.023479999999999848e+02,2.019484999999999957e+02,7.597181685491560219e-33
2.023479999999999848e+02,2.031470000000000198e+02,2.027475000000000023e+02,7.597181685491560219e-33
