"vmin","10MeV_0.1eV","10MeV_1eV","100MeV_0.1eV","100MeV_1eV","1000MeV_0.1eV","1000MeV_1eV"
8.094318709389453,0.,0.,0.,0.,1.5924032407205357e21,0.
8.219740308763328,0.,0.,0.,0.,1.5874873524344099e21,0.
8.34710531784891,0.,0.,0.,0.,1.5823266990451293e21,0.
8.476443849811133,0.,0.,0.,0.,1.576936952432984e21,0.
8.607786484418895,0.,0.,0.,0.,1.5712303977990526e21,0.
8.741164275275128,0.,0.,0.,0.,1.565001941525353e21,0.
8.876608757158822,0.,0.,0.,0.,1.558259734560579e21,0.
9.0141519534809,0.,0.,0.,0.,1.551035730104486e21,0.
9.15382638385553,0.,0.,0.,0.,1.5433472235526352e21,0.
9.295665071788848,0.,0.,0.,0.,1.5351237571882113e21,0.
9.439701552486744,0.,0.,0.,0.,1.526294555026276e21,0.
9.58596988078367,0.,0.,0.,0.,1.5168804778589372e21,0.
9.734504639194283,0.,0.,0.,0.,1.50692243249828e21,0.
9.885340946089869,0.,0.,0.,0.,1.4964161518041385e21,0.
10.038514464001436,0.,0.,0.,0.,1.485393662317355e21,0.
10.194061408051505,0.,0.,0.,0.,1.4738960053726835e21,0.
10.352018554516485,0.,0.,0.,0.,1.461945568977275e21,0.
10.512423249521811,0.,0.,0.,0.,1.4494467152358689e21,0.
10.675313417871703,0.,0.,0.,0.,1.4364177234117533e21,0.
10.84072757201585,0.,0.,0.,0.,1.422910218518349e21,0.
11.008704821154986,0.,0.,0.,0.,1.408951935363567e21,0.
11.17928488048752,0.,0.,0.,0.,1.394580985803138e21,0.
11.352508080599524,0.,0.,0.,0.,1.379839715071976e21,0.
11.528415377000135,0.,0.,0.,0.,1.3647813644272822e21,0.
11.707048359804784,0.,0.,0.,0.,1.3494380269893423e21,0.
11.888449263568402,0.,0.,0.,0.,1.3337008900960286e21,0.
12.072660977271033,0.,0.,0.,0.,1.3175669062222068e21,0.
12.259727054458164,0.,0.,0.,0.,1.3010938527175292e21,0.
12.449691723538168,0.,0.,0.,0.,1.2843083348940116e21,0.
12.642599898239336,0.,0.,0.,0.,1.267247397655993e21,0.
12.838497188228892,0.,0.,0.,0.,1.2500281176707663e21,0.
13.03742990989659,0.,0.,0.,0.,1.23267394876426e21,0.
13.239445097305408,0.,0.,0.,0.,1.2152017805464722e21,0.
13.44459051331187,0.,0.,0.,0.,1.1976250534388213e21,1.0802164960942018e17
13.652914660858764,0.,0.,1.0842448409008939e21,0.,1.1798253800065012e21,1.1034347481777796e18
13.864466794442725,0.,0.,2.868974795477726e21,0.,1.1618013038036951e21,2.659645252483289e18
14.07929693175963,0.,0.,2.7039977779804834e21,0.,1.1435848447271916e21,4.0111786037528084e18
14.297455865530372,0.,0.,2.7909368132164083e21,0.,1.1253060803668458e21,4.652821098441891e18
14.518995175509852,0.,0.,3.5701866799751957e21,0.,1.1069908176800452e21,5.03974494226249e18
14.743967240682137,0.,0.,5.465622933384832e21,0.,1.0886383838071949e21,5.390187487971634e18
14.972425251644468,0.,0.,3.5527623584002175e21,0.,1.0702694466782049e21,5.909981143479081e18
15.204423223183282,0.,0.,3.727322549737183e21,0.,1.0519038847328905e21,6.533608972866413e18
15.440016007044992,0.,0.,3.7703165603955626e21,0.,1.0335552059314304e21,7.161190360431093e18
15.679259304904683,0.,0.,3.6964948211551605e21,0.,1.0152344666878162e21,7.683984498863499e18
15.922209681535847,0.,0.,2.8487687342336424e21,0.,9.96978996803625e20,8.282039482486803e18
16.168924578184015,0.,0.,2.320744661334866e21,0.,9.788173985863531e20,9.459247560986393e18
16.419462326147777,0.,0.,2.0900328418985297e21,0.,9.607056515038341e20,1.1198871815164293e19
16.673882160570116,0.,0.,1.9388711631651566e21,0.,9.426426999581749e20,1.3115442914094572e19
16.93224423444352,0.,0.,1.8171014544481072e21,0.,9.246506579694961e20,1.4729745026822107e19
17.194609632832083,0.,0.,1.7136749038904638e21,0.,9.067229758864493e20,1.5726709707375815e19
