material,q,mass,nbins,background,alternative,sigma_asimov,q_asimov,chi2_pearson,sigma_mc,p_value_mc
Al,2,3,5,b,mix25,1.71148,2.92915,3.02522,1.7135,0.04331
Al,2,3,5,b,Disk,6.559,43.0205,48.4035,inf,0
Al,2,3,5,b,Bound,9.68414e+06,9.37826e+13,6.80471e+22,inf,0
Al,2,1,10,none,mix5,3.76937,14.2081,14.2195,3.74555,9e-05
Al,2,1,10,none,mix25,18.852,355.396,355.488,inf,0
Al,2,1,10,none,Disk,77.5101,6007.82,5687.81,inf,0
Al,2,1,10,none,Bound,0,0,0,-inf,1
Al,2,1,10,c,mix5,3.76689,14.1895,14.2006,3.77501,8e-05
Al,2,1,10,c,mix25,18.8402,354.952,355.015,inf,0
Al,2,1,10,c,Disk,77.4648,6000.79,5680.24,inf,0
Al,2,1,10,c,Bound,0,0,0,-inf,1
Al,2,1,10,b,mix5,3.74987,14.0615,14.0707,3.75987,8.5e-05
Al,2,1,10,b,mix25,18.759,351.901,351.768,inf,0
Al,2,1,10,b,Disk,77.1528,5952.56,5628.28,inf,0
Al,2,1,10,b,Bound,0,0,0,-inf,1
Al,2,2,10,none,mix5,1.57614,2.48422,2.52413,1.5772,0.057375
Al,2,2,10,none,mix25,7.6534,58.5745,63.1032,inf,0
Al,2,2,10,none,Disk,28.1019,789.716,1009.65,inf,0
Al,2,2,10,none,Bound,0,0,0,-inf,1
Al,2,2,10,c,mix5,1.56377,2.44537,2.48386,1.56873,0.058355
Al,2,2,10,c,mix25,7.59735,57.7198,62.0966,inf,0
Al,2,2,10,c,Disk,27.9294,780.053,993.545,inf,0
Al,2,2,10,c,Bound,0,0,0,-inf,1
Al,2,2,10,b,mix5,1.48667,2.2102,2.24085,1.49333,0.067675
Al,2,2,10,b,mix25,7.24537,52.4954,56.0214,inf,0
Al,2,2,10,b,Disk,26.8297,719.834,896.342,inf,0
Al,2,2,10,b,Bound,0,0,0,-inf,1
Al,2,3,10,none,mix5,0.523485,0.274037,0.278451,0.522877,0.30053
Al,2,3,10,none,mix25,2.54176,6.46053,6.96127,2.53953,0.00555
Al,2,3,10,none,Disk,9.33146,87.0761,111.38,inf,0
Al,2,3,10,none,Bound,1.01002e+07,1.02014e+14,5.15733e+23,inf,0
Al,2,3,10,c,mix5,0.488042,0.238185,0.241403,0.491066,0.31169
Al,2,3,10,c,mix25,2.37994,5.6641,6.03507,2.37688,0.00873
Al,2,3,10,c,Disk,8.82582,77.8951,96.5611,inf,0
Al,2,3,10,c,Bound,1.00441e+07,1.00884e+14,3.89678e+23,inf,0
Al,2,3,10,b,mix5,0.360911,0.130257,0.131156,0.363663,0.358055
Al,2,3,10,b,mix25,1.78076,3.17111,3.27889,1.79096,0.03665
Al,2,3,10,b,Disk,6.81538,46.4494,52.4623,inf,0
Al,2,3,10,b,Bound,9.84191e+06,9.68631e+13,1.4391e+23,inf,0
TiN,0,1,5,none,mix5,3.94257,15.5439,15.694,3.80817,7e-05
TiN,0,1,5,none,mix25,19.374,375.353,392.351,inf,0
TiN,0,1,5,none,Disk,74.0912,5489.5,6277.61,inf,0
TiN,0,1,5,none,Bound,0,0,0,-inf,1
TiN,0,1,5,c,mix5,3.94025,15.5255,15.6752,3.91608,4.5e-05
TiN,0,1,5,c,mix25,19.3632,374.934,391.88,inf,0
TiN,0,1,5,c,Disk,74.0552,5484.18,6270.08,inf,0
TiN,0,1,5,c,Bound,0,0,0,-inf,1
TiN,0,1,5,b,mix5,3.92418,15.3992,15.5456,3.97629,3.5e-05
TiN,0,1,5,b,mix25,19.2885,372.046,388.64,inf,0
TiN,0,1,5,b,Disk,73.8069,5447.45,6218.24,inf,0
TiN,0,1,5,b,Bound,0,0,0,-inf,1
TiN,0,2,5,none,mix5,2.68303,7.19863,7.34513,2.69118,0.00356
TiN,0,2,5,none,mix25,12.9351,167.318,183.628,inf,0
TiN,0,2,5,none,Disk,46.6837,2179.37,2938.05,inf,0
TiN,0,2,5,none,Bound,0,0,0,-inf,1
TiN,0,2,5,c,mix5,2.66952,7.12632,7.26961,2.6801,0.00368
TiN,0,2,5,c,mix25,12.875,165.766,181.74,inf,0
TiN,0,2,5,c,Disk,46.505,2162.71,2907.84,inf,0
TiN,0,2,5,c,Bound,0,0,0,-inf,1
TiN,0,2,5,b,mix5,2.58185,6.66594,6.78982,2.58281,0.0049
TiN,0,2,5,b,mix25,12.4827,155.817,169.745,inf,0
TiN,0,2,5,b,Disk,45.3279,2054.62,2715.93,inf,0
TiN,0,2,5,b,Bound,0,0,0,-inf,1
TiN,0,3,5,none,mix5,0.895481,0.801886,0.818626,0.898085,0.18457
TiN,0,3,5,none,mix25,4.31342,18.6056,20.4657,4.41717,5e-06
TiN,0,3,5,none,Disk,15.5345,241.32,327.451,inf,0
TiN,0,3,5,none,Bound,502540,2.52547e+11,3.35034e+18,inf,0
TiN,0,3,5,c,mix5,0.854565,0.730281,0.743947,0.860343,0.1948
TiN,0,3,5,c,mix25,4.13062,17.062,18.5987,4.01281,3e-05
TiN,0,3,5,c,Disk,14.9879,224.638,297.579,inf,0
TiN,0,3,5,c,Bound,500181,2.50181e+11,2.80241e+18,inf,0
TiN,0,3,5,b,mix5,0.678911,0.460921,0.466151,0.688513,0.245565
TiN,0,3,5,b,mix25,3.32287,11.0415,11.6538,3.34259,0.000415
TiN,0,3,5,b,Disk,12.4291,154.484,186.46,inf,0
TiN,0,3,5,b,Bound,489981,2.40081e+11,1.30875e+18,inf,0
TiN,0,1,9,none,mix5,4.08563,16.6924,16.8515,4.05563,2.5e-05
TiN,0,1,9,none,mix25,20.0834,403.342,421.288,inf,0
TiN,0,1,9,none,Disk,76.9724,5924.75,6740.6,inf,0
TiN,0,1,9,none,Bound,0,0,0,-inf,1
TiN,0,1,9,c,mix5,4.0833,16.6733,16.8319,4.41717,5e-06
TiN,0,1,9,c,mix25,20.0725,402.906,420.798,inf,0
TiN,0,1,9,c,Disk,76.9364,5919.21,6732.77,inf,0
TiN,0,1,9,c,Bound,0,0,0,-inf,1
TiN,0,1,9,b,mix5,4.06717,16.5418,16.697,4.05563,2.5e-05
TiN,0,1,9,b,mix25,19.9976,399.905,417.426,inf,0
TiN,0,1,9,b,Disk,76.6874,5880.96,6678.81,inf,0
TiN,0,1,9,b,Bound,0,0,0,-inf,1
TiN,0,2,9,none,mix5,2.74795,7.55124,7.70566,2.73967,0.003075
TiN,0,2,9,none,mix25,13.246,175.456,192.642,inf,0
TiN,0,2,9,none,Disk,47.7872,2283.62,3082.27,inf,0
TiN,0,2,9,none,Bound,0,0,0,-inf,1
TiN,0,2,9,c,mix5,2.7346,7.47802,7.62917,2.73807,0.00309
TiN,0,2,9,c,mix25,13.1866,173.886,190.729,inf,0
TiN,0,2,9,c,Disk,47.611,2266.81,3051.67,inf,0
TiN,0,2,9,c,Bound,0,0,0,-inf,1
TiN,0,2,9,b,mix5,2.64783,7.01101,7.14232,2.65888,0.00392
TiN,0,2,9,b,mix25,12.7986,163.804,178.558,inf,0
TiN,0,2,9,b,Disk,46.449,2157.51,2856.93,inf,0
TiN,0,2,9,b,Bound,0,0,0,-inf,1
TiN,0,3,9,none,mix5,0.916793,0.840509,0.858134,0.925588,0.17733
TiN,0,3,9,none,mix25,4.41541,19.4958,21.4533,4.41717,5e-06
TiN,0,3,9,none,Disk,15.8963,252.692,343.254,inf,0
TiN,0,3,9,none,Bound,502691,2.52698e+11,3.35061e+18,inf,0
TiN,0,3,9,c,mix5,0.876337,0.767967,0.782454,0.877546,0.190095
TiN,0,3,9,c,mix25,4.23481,17.9336,19.5613,4.10748,2e-05
TiN,0,3,9,c,Disk,15.3572,235.843,312.982,inf,0
TiN,0,3,9,c,Bound,500330,2.5033e+11,2.80265e+18,inf,0
TiN,0,3,9,b,mix5,0.701053,0.491476,0.497184,0.702271,0.241255
TiN,0,3,9,b,mix25,3.42962,11.7623,12.4296,3.43161,0.0003
TiN,0,3,9,b,Disk,12.8124,164.159,198.874,inf,0
TiN,0,3,9,b,Bound,490126,2.40223e+11,1.30888e+18,inf,0
TiN,2,1,5,none,mix5,9.5263,90.7504,90.034,inf,0
TiN,2,1,5,none,mix25,48.4623,2348.59,2250.85,inf,0
TiN,2,1,5,none,Disk,213.434,45553.9,36013.6,inf,0
TiN,2,1,5,none,Bound,0,0,0,-inf,1
TiN,2,1,5,c,mix5,9.52562,90.7375,90.0213,inf,0
TiN,2,1,5,c,mix25,48.4587,2348.25,2250.53,inf,0
TiN,2,1,5,c,Disk,213.414,45545.7,36008.5,inf,0
TiN,2,1,5,c,Bound,0,0,0,-inf,1
TiN,2,1,5,b,mix5,9.52095,90.6484,89.9333,inf,0
TiN,2,1,5,b,mix25,48.4344,2345.89,2248.33,inf,0
TiN,2,1,5,b,Disk,213.282,45489.1,35973.3,inf,0
TiN,2,1,5,b,Bound,0,0,0,-inf,1
TiN,2,2,5,none,mix5,2.36168,5.57752,5.62578,2.36975,0.0089
TiN,2,2,5,none,mix25,11.6227,135.086,140.645,inf,0
TiN,2,2,5,none,Disk,44.4673,1977.34,2250.31,inf,0
TiN,2,2,5,none,Bound,0,0,0,-inf,1
TiN,2,2,5,c,mix5,2.35926,5.5661,5.61413,2.37709,0.008725
TiN,2,2,5,c,mix25,11.6113,134.821,140.353,inf,0
TiN,2,2,5,c,Disk,44.4282,1973.87,2245.65,inf,0
