vmin_low,vmin_high,vmin_mid,flux
8.968899999999999295e+01,9.048800000000001376e+01,9.008850000000001046e+01,1.066294785171089927e+02
9.048800000000001376e+01,9.128700000000000614e+01,9.088750000000001705e+01,1.066294785171089927e+02
9.128700000000000614e+01,9.208599999999999852e+01,9.168649999999999523e+01,1.066294785171089927e+02
9.208599999999999852e+01,9.288500000000000512e+01,9.248550000000000182e+01,1.066294785171089927e+02
9.288500000000000512e+01,9.368400000000001171e+01,9.328450000000000841e+01,1.066294785171089927e+02
9.368400000000001171e+01,9.448300000000000409e+01,9.408350000000001501e+01,1.066294785171089927e+02
9.448300000000000409e+01,9.528200000000001069e+01,9.488250000000000739e+01,1.066294785171089927e+02
9.528200000000001069e+01,9.608100000000000307e+01,9.568149999999999977e+01,1.066294785171089927e+02
9.608100000000000307e+01,9.687999999999999545e+01,9.648050000000000637e+01,1.066294785171089927e+02
9.687999999999999545e+01,9.767900000000000205e+01,9.727949999999999875e+01,1.066294785171089927e+02
9.767900000000000205e+01,9.847799999999999443e+01,9.807849999999999113e+01,1.066294785171089927e+02
9.847799999999999443e+01,9.927700000000000102e+01,9.887749999999999773e+01,1.066294785171089927e+02
9.927700000000000102e+01,1.000760000000000076e+02,9.967650000000000432e+01,1.066294785171089927e+02
1.000760000000000076e+02,1.008750000000000000e+02,1.004755000000000109e+02,1.066294785171089927e+02
1.008750000000000000e+02,1.016739999999999924e+02,1.012744999999999891e+02,1.066294785171089927e+02
1.016739999999999924e+02,1.024729999999999990e+02,1.020734999999999957e+02,1.066294785171089927e+02
1.024729999999999990e+02,1.032720000000000056e+02,1.028725000000000023e+02,1.066294785171089927e+02
1.032720000000000056e+02,1.040709999999999980e+02,1.036715000000000089e+02,1.066294785171089927e+02
1.040709999999999980e+02,1.048700000000000045e+02,1.044705000000000013e+02,6.459797458333328279e+01
1.048700000000000045e+02,1.056690000000000111e+02,1.052695000000000078e+02,6.459797458333328279e+01
1.056690000000000111e+02,1.064680000000000035e+02,1.060685000000000002e+02,6.459797458333328279e+01
1.064680000000000035e+02,1.072670000000000101e+02,1.068675000000000068e+02,6.459797458333328279e+01
1.072670000000000101e+02,1.080660000000000025e+02,1.076665000000000134e+02,6.459797458333328279e+01
1.080660000000000025e+02,1.088649999999999949e+02,1.084654999999999916e+02,6.459797458333328279e+01
1.088649999999999949e+02,1.096640000000000157e+02,1.092644999999999982e+02,6.459797458333328279e+01
1.096640000000000157e+02,1.104630000000000081e+02,1.100635000000000048e+02,6.459797458333328279e+01
1.104630000000000081e+02,1.112620000000000005e+02,1.108625000000000114e+02,6.459797458333328279e+01
1.112620000000000005e+02,1.120610000000000213e+02,1.116615000000000180e+02,6.459797458333328279e+01
1.120610000000000213e+02,1.128600000000000136e+02,1.124605000000000246e+02,6.459797458333328279e+01
1.128600000000000136e+02,1.136590000000000060e+02,1.132595000000000027e+02,6.459797458333328279e+01
1.136590000000000060e+02,1.144580000000000126e+02,1.140585000000000093e+02,6.459797458333328279e+01
1.144580000000000126e+02,1.152570000000000050e+02,1.148575000000000159e+02,6.459797458333328279e+01
1.152570000000000050e+02,1.160560000000000116e+02,1.156565000000000083e+02,6.459797458333328279e+01
1.160560000000000116e+02,1.168549999999999898e+02,1.164555000000000007e+02,6.459797458333328279e+01
1.168549999999999898e+02,1.176539999999999964e+02,1.172544999999999931e+02,6.459797458333328279e+01
1.176539999999999964e+02,1.184529999999999887e+02,1.180534999999999854e+02,6.459797458333328279e+01
1.184529999999999887e+02,1.192519999999999953e+02,1.188524999999999920e+02,6.459797458333328279e+01
