"vmin","0.2–0.3 eV","0.3–0.4 eV","0.4–0.5 eV","0.5–0.6 eV","0.6–0.7 eV","0.7–0.8 eV","0.8–0.9 eV","0.9–1. eV","1.–1.1 eV"
11.004248334224064,2.5854508100130506e+17,9.89041521699649e+15,9.663136144126289e+14,1.3772168776061188e+14,2.1625817529005957e+13,1.8486344299563906e+12,0,0,0
11.144774463524408,2.93847542378367e+17,1.119013619094917e+16,1.106691400210444e+15,1.6114881688717656e+14,2.7029113983451227e+13,2.950158904524381e+12,0,0,0
11.287095135479227,3.337898039707539e+17,1.26370428792924e+16,1.2636046362342495e+15,1.876908605252038e+14,3.2811890659277598e+13,4.421364571027154e+12,4.1060302430359e+10,0,0
11.431233266704483,3.800124185336983e+17,1.427532460521196e+16,1.4420109831385658e+15,2.1821690383792e+14,3.955785962917656e+13,6.23612301181999e+12,2.377170575080031e+11,0,0
11.577212066465238,4.327177172798772e+17,1.6103623906980216e+16,1.641719790715724e+15,2.5268183079778216e+14,4.726617233475859e+13,8.2968724098577705e+12,5.769607187464419e+11,0,0
11.725055040412844,4.93699901129952e+17,1.816287224689837e+16,1.86727844890585e+15,2.9193795326968794e+14,5.604585938640192e+13,1.073828872926493e+13,1.1619348966948828e+12,0,0
11.874785994369814,5.6392072411170176e+17,2.046733031045426e+16,2.1202191677043135e+15,3.362777716623536e+14,6.6040275590844984e+13,1.360506954628617e+13,1.8557785361200752e+12,0,0
12.026429038163087,6.45674192506114e+17,2.30590479187147e+16,2.4051493063792315e+15,3.865711392767127e+14,7.748399948730756e+13,1.6846119074069504e+13,2.7891808448033887e+12,7.20006408547473e+10,0
12.180008589506205,7.40537092993213e+17,2.5956884940539876e+16,2.724062754178472e+15,4.4319868766651806e+14,9.05298809874139e+13,2.0517524162915645e+13,3.9318623377496064e+12,2.4175693464222592e+11,0
12.335549377931073,8.525364939597221e+17,2.9221925632233416e+16,3.0835860504255835e+15,5.074112754088338e+14,1.054896521473609e+14,2.464336596957222e+13,5.478775556131284e+12,6.986426235306333e+11,0
12.493076448769957,9.833770712839071e+17,3.28579066634481e+16,3.4839700175248845e+15,5.792614688942384e+14,1.2236936480921488e+14,2.9333769272366098e+13,6.808200103803846e+12,1.0197846248385027e+12,0
