"vmin","0.2–0.3 eV","0.3–0.5 eV","0.5–0.7 eV","0.7–0.9 eV","0.9–1.1 eV"
78.5245248280157,1.329991776443635e+20,1.7415127131612273e+20,0,0,0
79.4057364479144,1.1326932307263691e+20,2.0016356772940317e+20,0,0,0
80.29683713012506,9.383550022255316e+19,2.393589002523391e+20,0,0,0
81.19793785088912,7.461687533174607e+19,2.619965007842196e+20,0,0,0
82.10915083183649,5.659572813131362e+19,2.8016844469384118e+20,0,0,0
83.03058955396189,4.079549966761387e+19,3.0558026358634984e+20,0,0,0
83.96236877175706,2.8012549356937028e+19,3.209777222206706e+20,0,0,0
84.90460452750263,1.8697224901640724e+19,3.475869273403971e+20,0,0,0
85.85741416571959,1.2792340626775572e+19,3.5264325902819616e+20,0,0,0
86.82091634778297,9.447246488268184e+18,3.756054810954193e+20,0,0,0
87.79523106670024,7.469717191679352e+18,3.865061205892421e+20,0,0,0
88.78047966205449,6.132656753626499e+18,3.925764229118956e+20,0,0,0
89.77678483511644,5.148553345983742e+18,3.995820457432303e+20,9.000668403882556e+18,0,0
90.78427066412486,4.3885628931976637e+18,4.059847583491103e+20,2.6942826157455417e+19,0,0
91.80306261973966,3.7830398537783675e+18,4.032477460020902e+20,6.586159775898795e+19,0,0
92.8332875806673,3.2898638024091377e+18,3.754896258815095e+20,9.668861758964166e+19,0,0
93.87507384946227,2.881205679453075e+18,3.4695868710835487e+20,1.2918863255266084e+20,0,0
94.92855116850595,2.5382245278295117e+18,3.1456408225505975e+20,1.7797128284276182e+20,0,0
95.99385073616388,2.2471892818613878e+18,2.7653822138751248e+20,2.3048401504372906e+20,0,0
97.07110522312568,1.998157960844396e+18,2.374772403662921e+20,2.8683582832727248e+20,0,0
98.16044878892733,1.7833890690483935e+18,2.1542786205527455e+20,3.961470916368239e+20,0,0
99.26201709865884,1.5969857821138301e+18,1.546236256785824e+20,3.9598464294646304e+20,0,0
100.37594733986059,1.434295535308687e+18,1.1182706860969583e+20,4.910828949576526e+20,0,0
101.50237823960748,1.291618509847028e+18,6.958122632701181e+19,4.816442881609711e+20,0,0
102.64145008178672,1.16594259488032e+18,4.677097390037572e+19,5.4013988642029443e+20,0,0
103.79330472456766,1.054789543177303e+18,3.6151483749003522e+19,5.3648386276923906e+20,0,0
104.95808561806932,9.561624166289322e+17,2.9770514889258467e+19,5.5600816176146344e+20,0,0
106.13593782222515,8.683564916218132e+17,2.5118411575604347e+19,5.976996773176853e+20,2.745940375793719e+19,0
107.32700802484821,7.899573870616232e+17,2.1506010692157325e+19,5.4311950029245946e+20,4.979544180435113e+19,0
108.5314445599002,7.197732856477394e+17,1.8606434052862546e+19,5.1917570430848244e+20,9.466365332646776e+19,0
109.74939742596386,6.567886587895027e+17,1.6227547055543417e+19,4.95528601819752e+20,1.3781550935376966e+20,0
110.98101830492443,6.001363762507238e+17,1.4244501850218818e+19,4.601099457049515e+20,2.026983702695729e+20,0
112.2264605808591,5.490818040055412e+17,1.257140541009214e+19,4.421309988827309e+20,2.8018647612726002e+20,0
113.48587935913952,5.0297045140213645e+17,1.114521765695729e+19,3.724196579594058e+20,3.541443939949892e+20,0
114.75943148574873,4.6125566037594906e+17,9.919861192545161e+18,3.7196064613061643e+20,3.997460567332644e+20,0
116.04727556681377,4.234530971220958e+17,8.859706512863448e+18,3.1026046792140646e+20,4.687819046848897e+20,0
117.34957198835889,3.891396742472065e+17,7.936961345019509e+18,2.307906010246259e+20,5.234600673501521e+20,0
118.66648293627956,3.5794675623292896e+17,7.129659704085672e+18,1.7470689690497253e+20,5.8336036279895065e+20,0
119.99817241654046,3.2955469694777594e+17,6.42027385775412e+18,1.2827443872335523e+20,6.293226747668862e+20,1.234349132888307e+19
121.34480627560124,3.036729594297463e+17,5.794252823301558e+18,1.0168207197691258e+20,6.35965444161565e+20,4.006094710359987e+19
122.70655222106998,2.8005293915605962e+17,5.23988957726987e+18,8.439285894604422e+19,6.524634830192964e+20,8.393695929128462e+19
124.08357984259004,2.5846962948987395e+17,4.747326745779602e+18,7.1547004716746236e+19,6.171155413497484e+20,1.3224075127825772e+20
125.47606063295963,2.3872635361120893e+17,4.308411455356003e+18,6.149465837162506e+19,5.984159596574165e+20,2.0215888586027404e+20
